Location	Asset	Year	Model	Type	2019 HP Student	2020 HP Student	2021 HP Student	2022 HP Student	2019 Mac Student	2020 Mac Student	2021 Mac Student	2022 Mac Student	2019 HP Loaner	2020 HP Loaner	2021 HP Loaner	2022 HP Loaner	2019 Mac Loaner	2020 Mac Loaner	2021 Mac Loaner	2022 Mac Loaner
Location 2	201925689	2019	Mac	Student					201925689											
Location 2	201971880	2019	HP	Student	201971880															
Location 2	202188896	2021	Mac	Loaner															202188896	
Location 2	202275696	2022	HP	Student				202275696												
Location 2	202170373	2021	Mac	Student							202170373									
Location 2	202106865	2021	HP	Student			202106865													
Location 2	202162535	2021	Mac	Student							202162535									
Location 2	202128442	2021	Mac	Loaner															202128442	
Location 2	202056496	2020	HP	Student		202056496														
Location 2	201912549	2019	Mac	Student					201912549											
Location 2	202218663	2022	HP	Student				202218663												
Location 2	201931133	2019	HP	Student	201931133															
Location 2	202264071	2022	HP	Student				202264071												
Location 2	201925475	2019	Mac	Student					201925475											
Location 2	202133936	2021	Mac	Student							202133936									
Location 2	201978914	2019	Mac	Student					201978914											
Location 2	202297275	2022	HP	Student				202297275												
Location 2	202147262	2021	Mac	Student							202147262									
Location 2	202022626	2020	HP	Student		202022626														
Location 2	202061356	2020	Mac	Student						202061356										
Location 2	202037334	2020	HP	Student		202037334														
Location 2	202182729	2021	HP	Student			202182729													
Location 2	202097361	2020	HP	Student		202097361														
Location 2	202036429	2020	Mac	Student						202036429										
Location 2	202085026	2020	Mac	Student						202085026										
Location 2	202262834	2022	HP	Student				202262834												
Location 2	201940758	2019	Mac	Student					201940758											
Location 2	202266777	2022	HP	Student				202266777												
Location 2	202178827	2021	Mac	Loaner															202178827	
Location 2	202080070	2020	HP	Student		202080070														
Location 2	201954878	2019	HP	Student	201954878															
Location 3	202202536	2022	Mac	Student								202202536								
Location 3	202252470	2022	HP	Student				202252470												
Location 3	202239254	2022	HP	Student				202239254												
Location 3	201995261	2019	HP	Student	201995261															
Location 3	201928210	2019	HP	Student	201928210															
Location 3	201992258	2019	Mac	Student					201992258											
Location 3	201947591	2019	HP	Student	201947591															
Location 3	202101304	2021	HP	Student			202101304													
Location 3	202283309	2022	HP	Student				202283309												
Location 3	202156961	2021	Mac	Student							202156961									
Location 3	201919327	2019	HP	Student	201919327															
Location 3	202052326	2020	HP	Student		202052326														
Location 3	202274779	2022	Mac	Student								202274779								
Location 3	202145640	2021	HP	Student			202145640													
Location 3	202295685	2022	HP	Student				202295685												
Location 3	202002436	2020	Mac	Student						202002436										
Location 3	202229139	2022	HP	Student				202229139												
Location 3	202005839	2020	HP	Student		202005839														
Location 3	202178681	2021	HP	Student			202178681													
Location 3	201961417	2019	HP	Student	201961417															
Location 3	202058777	2020	Mac	Student						202058777										
Location 3	202152255	2021	HP	Student			202152255													
Location 3	202073751	2020	Mac	Student						202073751										
Location 3	202137256	2021	HP	Student			202137256													
Location 3	202205976	2022	Mac	Student								202205976								
Location 3	202019751	2020	Mac	Student						202019751										
Location 3	202257787	2022	Mac	Student								202257787								
Location 3	201948245	2019	HP	Loaner									201948245							
Location 3	202266561	2022	HP	Student				202266561												
Location 3	202048467	2020	HP	Student		202048467														
Location 3	202102971	2021	HP	Student			202102971													
Location 3	202185954	2021	Mac	Student							202185954									
Location 3	201948979	2019	HP	Student	201948979															
Location 3	202024239	2020	HP	Student		202024239														
Location 3	202223249	2022	HP	Student				202223249												
Location 3	202216929	2022	Mac	Student								202216929								
Location 3	201971341	2019	Mac	Student					201971341											
Location 3	202231075	2022	Mac	Student								202231075								
Location 3	202007671	2020	HP	Student		202007671														
Location 3	202059096	2020	Mac	Student						202059096										
Location 3	202181792	2021	HP	Student			202181792													
Location 3	201906443	2019	Mac	Student					201906443											
Location 3	202121808	2021	HP	Student			202121808													
Location 3	202059389	2020	HP	Student		202059389														
Location 3	202145722	2021	HP	Student			202145722													
Location 3	202069161	2020	HP	Student		202069161														
Location 3	202109358	2021	Mac	Student							202109358									
Location 3	202079396	2020	HP	Student		202079396														
Location 3	202256839	2022	HP	Student				202256839												
Location 3	201970629	2019	HP	Student	201970629															
Location 4	201980724	2019	Mac	Student					201980724											
Location 4	202096470	2020	HP	Loaner										202096470						
Location 4	201920821	2019	Mac	Student					201920821											
Location 4	202026635	2020	Mac	Student						202026635										
Location 4	202094861	2020	Mac	Student						202094861										
Location 4	201978680	2019	HP	Student	201978680															
Location 4	202015479	2020	HP	Student		202015479														
Location 4	202195660	2021	Mac	Student							202195660									
Location 4	202004677	2020	HP	Student		202004677														
Location 4	202198183	2021	HP	Loaner											202198183					
Location 4	202183558	2021	Mac	Student							202183558									
Location 4	202158068	2021	HP	Student			202158068													
Location 4	202162710	2021	Mac	Student							202162710									
Location 4	202046214	2020	Mac	Student						202046214										
Location 4	202018266	2020	HP	Student		202018266														
Location 4	202203642	2022	HP	Student				202203642												
Location 4	202268193	2022	HP	Student				202268193												
Location 4	201993770	2019	HP	Student	201993770															
Location 4	202160856	2021	Mac	Student							202160856									
Location 4	202212074	2022	Mac	Student								202212074								
Location 4	202085077	2020	HP	Student		202085077														
Location 4	202172751	2021	HP	Student			202172751													
Location 4	202017242	2020	HP	Student		202017242														
Location 4	201999442	2019	HP	Student	201999442															
Location 4	202012132	2020	Mac	Student						202012132										
Location 4	202265539	2022	Mac	Student								202265539								
Location 4	201979469	2019	HP	Student	201979469															
Location 4	201906894	2019	HP	Student	201906894															
Location 4	202056696	2020	HP	Student		202056696														
Location 4	201915450	2019	HP	Student	201915450															
Location 4	202247103	2022	Mac	Student								202247103								
Location 4	201924758	2019	HP	Student	201924758															
Location 4	202003594	2020	HP	Student		202003594														
Location 4	201985887	2019	Mac	Student					201985887											
Location 4	202147256	2021	HP	Student			202147256													
Location 4	201932608	2019	HP	Student	201932608															
Location 4	202051011	2020	Mac	Student						202051011										
Location 4	202097022	2020	Mac	Student						202097022										
Location 4	202239960	2022	Mac	Student								202239960								
Location 4	201911852	2019	Mac	Student					201911852											
Location 4	202109347	2021	Mac	Student							202109347									
Location 4	202237375	2022	Mac	Student								202237375								
Location 4	202150779	2021	Mac	Student							202150779									
Location 4	202079990	2020	HP	Student		202079990														
Location 4	202026509	2020	HP	Student		202026509														
Location 4	202247714	2022	HP	Student				202247714												
Location 4	202051840	2020	Mac	Student						202051840										
Location 4	202051495	2020	Mac	Student						202051495										
Location 4	202083894	2020	HP	Student		202083894														
Location 4	202190681	2021	HP	Student			202190681													
Location 5	202037133	2020	Mac	Student						202037133										
Location 5	202057208	2020	Mac	Student						202057208										
Location 5	202290901	2022	HP	Student				202290901												
Location 5	201970696	2019	Mac	Student					201970696											
Location 5	202052030	2020	HP	Student		202052030														
Location 5	202113898	2021	HP	Student			202113898													
Location 5	202052448	2020	HP	Loaner										202052448						
Location 5	202110178	2021	HP	Loaner											202110178					
Location 5	202294495	2022	HP	Student				202294495												
Location 5	202195456	2021	HP	Student			202195456													
Location 5	202167599	2021	Mac	Student							202167599									
Location 5	201996815	2019	HP	Student	201996815															
Location 5	201953511	2019	HP	Student	201953511															
Location 5	201959716	2019	Mac	Student					201959716											
Location 5	202209087	2022	Mac	Student								202209087								
Location 5	202168252	2021	HP	Student			202168252													
Location 5	201901935	2019	HP	Student	201901935															
Location 5	201937136	2019	Mac	Student					201937136											
Location 5	202084454	2020	HP	Student		202084454														
Location 5	202108572	2021	HP	Student			202108572													
Location 5	202289483	2022	HP	Student				202289483												
Location 5	202059689	2020	Mac	Student						202059689										
Location 5	202144568	2021	HP	Student			202144568													
Location 5	201987827	2019	Mac	Student					201987827											
Location 5	202205309	2022	Mac	Student								202205309								
Location 5	202190103	2021	HP	Student			202190103													
Location 5	202181712	2021	HP	Student			202181712													
Location 5	202066542	2020	Mac	Student						202066542										
Location 5	202162742	2021	HP	Student			202162742													
Location 5	201963315	2019	HP	Student	201963315															
Location 5	202251626	2022	Mac	Student								202251626								
Location 5	202220469	2022	HP	Loaner												202220469				
Location 5	202066554	2020	Mac	Student						202066554										
Location 5	201950236	2019	Mac	Loaner													201950236			
Location 5	202104609	2021	HP	Student			202104609													
Location 5	202098630	2020	Mac	Student						202098630										
Location 5	202031064	2020	HP	Student		202031064														
Location 5	202157219	2021	Mac	Student							202157219									
Location 5	202020380	2020	HP	Loaner										202020380						
Location 5	201913100	2019	HP	Student	201913100															
Location 5	202089759	2020	HP	Student		202089759														
Location 5	202256524	2022	HP	Student				202256524												
Location 5	201988467	2019	Mac	Student					201988467											
Location 5	202234090	2022	HP	Loaner												202234090				
Location 5	202131955	2021	Mac	Student							202131955									
Location 5	201925510	2019	Mac	Loaner													201925510			
Location 5	201965164	2019	HP	Student	201965164															
Location 5	201983237	2019	HP	Student	201983237															
Location 5	202209430	2022	Mac	Student								202209430								
Location 5	202252601	2022	Mac	Loaner																202252601
Location 6	202080074	2020	HP	Student		202080074														
Location 6	202051582	2020	HP	Student		202051582														
Location 6	202245269	2022	HP	Student				202245269												
Location 6	202204156	2022	Mac	Student								202204156								
Location 6	202119662	2021	HP	Student			202119662													
Location 6	202292204	2022	HP	Student				202292204												
Location 6	202229485	2022	Mac	Student								202229485								
Location 6	201977225	2019	Mac	Student					201977225											
Location 6	202275206	2022	Mac	Student								202275206								
Location 6	201919006	2019	Mac	Student					201919006											
Location 6	202032381	2020	Mac	Student						202032381										
Location 6	201917900	2019	HP	Student	201917900															
Location 6	202168339	2021	HP	Student			202168339													
Location 6	202110687	2021	HP	Student			202110687													
Location 6	202179940	2021	Mac	Student							202179940									
Location 6	202201543	2022	Mac	Student								202201543								
Location 6	201941559	2019	HP	Student	201941559															
Location 6	202207738	2022	Mac	Student								202207738								
Location 6	202180703	2021	Mac	Loaner															202180703	
Location 6	201917303	2019	HP	Student	201917303															
Location 6	201978569	2019	Mac	Student					201978569											
Location 6	201944976	2019	HP	Student	201944976															
Location 6	202026094	2020	HP	Student		202026094														
Location 6	202294242	2022	HP	Student				202294242												
Location 6	202189974	2021	Mac	Student							202189974									
Location 6	202051799	2020	HP	Student		202051799														
Location 6	202201443	2022	Mac	Student								202201443								
Location 6	202213515	2022	HP	Student				202213515												
Location 6	202141761	2021	HP	Student			202141761													
Location 6	202069365	2020	Mac	Student						202069365										
Location 6	202241484	2022	Mac	Student								202241484								
Location 6	202159891	2021	Mac	Loaner															202159891	
Location 6	202055049	2020	Mac	Student						202055049										
Location 6	201983170	2019	HP	Student	201983170															
Location 6	202250671	2022	HP	Student				202250671												
Location 6	202099398	2020	Mac	Student						202099398										
Location 6	202092931	2020	HP	Student		202092931														
Location 6	201934512	2019	HP	Student	201934512															
Location 6	202013476	2020	HP	Student		202013476														
Location 6	202113408	2021	Mac	Student							202113408									
Location 6	202094702	2020	Mac	Loaner														202094702		
Location 6	202069572	2020	Mac	Student						202069572										
Location 6	201932611	2019	Mac	Student					201932611											
Location 6	202135205	2021	HP	Student			202135205													
Location 6	202075205	2020	HP	Loaner										202075205						
Location 6	202166651	2021	Mac	Student							202166651									
Location 6	202236865	2022	HP	Loaner												202236865				
Location 6	202042489	2020	Mac	Student						202042489										
Location 6	202128735	2021	HP	Student			202128735													
Location 6	201941353	2019	Mac	Student					201941353											
Location 7	201946560	2019	HP	Loaner									201946560							
Location 7	202168971	2021	Mac	Student							202168971									
Location 7	202013965	2020	Mac	Student						202013965										
Location 7	202079140	2020	HP	Student		202079140														
Location 7	202239991	2022	Mac	Student								202239991								
Location 7	202077389	2020	HP	Student		202077389														
Location 7	202175889	2021	HP	Loaner											202175889					
Location 7	202038927	2020	HP	Student		202038927														
Location 7	202075699	2020	Mac	Student						202075699										
Location 7	202241963	2022	HP	Loaner												202241963				
Location 7	202156248	2021	Mac	Loaner															202156248	
Location 7	202138979	2021	HP	Student			202138979													
Location 7	201944542	2019	Mac	Student					201944542											
Location 7	202284914	2022	HP	Student				202284914												
Location 7	202205167	2022	Mac	Student								202205167								
Location 7	202266261	2022	Mac	Student								202266261								
Location 7	202125858	2021	Mac	Student							202125858									
Location 7	202132124	2021	HP	Student			202132124													
Location 7	202255144	2022	Mac	Student								202255144								
Location 7	201982228	2019	HP	Student	201982228															
Location 7	202013360	2020	Mac	Student						202013360										
Location 7	201923649	2019	HP	Student	201923649															
Location 7	202287966	2022	HP	Student				202287966												
Location 7	201968119	2019	Mac	Student					201968119											
Location 7	202121113	2021	Mac	Student							202121113									
Location 7	201918843	2019	HP	Student	201918843															
Location 7	201992146	2019	HP	Student	201992146															
Location 7	201971644	2019	HP	Student	201971644															
Location 7	202278856	2022	HP	Student				202278856												
Location 7	201980227	2019	HP	Student	201980227															
Location 7	202262767	2022	HP	Student				202262767												
Location 7	202262145	2022	HP	Student				202262145												
Location 7	201961905	2019	HP	Student	201961905															
Location 7	202179367	2021	Mac	Student							202179367									
Location 7	202074038	2020	HP	Loaner										202074038						
Location 7	202070814	2020	HP	Student		202070814														
Location 7	202230058	2022	HP	Student				202230058												
Location 7	202191924	2021	Mac	Student							202191924									
Location 7	202188576	2021	Mac	Student							202188576									
Location 7	202065591	2020	HP	Student		202065591														
Location 7	202070324	2020	HP	Student		202070324														
Location 7	202030730	2020	HP	Student		202030730														
Location 7	202072733	2020	HP	Student		202072733														
Location 7	202273512	2022	Mac	Student								202273512								
Location 7	201927583	2019	Mac	Student					201927583											
Location 7	202179013	2021	HP	Student			202179013													
Location 7	202038592	2020	HP	Student		202038592														
Location 7	202105330	2021	HP	Student			202105330													
Location 7	202188374	2021	Mac	Student							202188374									
Location 7	202212408	2022	HP	Student				202212408												
Location 8	202062076	2020	Mac	Student						202062076										
Location 8	202123327	2021	HP	Student			202123327													
Location 8	202230311	2022	Mac	Student								202230311								
Location 8	201911883	2019	HP	Student	201911883															
Location 8	202073011	2020	HP	Student		202073011														
Location 8	202114282	2021	Mac	Student							202114282									
Location 8	201984605	2019	Mac	Student					201984605											
Location 8	201915869	2019	Mac	Student					201915869											
Location 8	201920473	2019	HP	Student	201920473															
Location 8	202144472	2021	HP	Student			202144472													
Location 8	201942227	2019	HP	Student	201942227															
Location 8	201996303	2019	HP	Student	201996303															
Location 8	202202650	2022	Mac	Student								202202650								
Location 8	202141994	2021	HP	Student			202141994													
Location 8	202155013	2021	HP	Student			202155013													
Location 8	202135774	2021	HP	Student			202135774													
Location 8	202033568	2020	Mac	Student						202033568										
Location 8	201903988	2019	Mac	Student					201903988											
Location 8	202027188	2020	HP	Student		202027188														
Location 8	202195542	2021	Mac	Student							202195542									
Location 8	202262465	2022	HP	Student				202262465												
Location 8	201987183	2019	HP	Student	201987183															
Location 8	202017956	2020	HP	Student		202017956														
Location 8	201941787	2019	HP	Student	201941787															
Location 8	201954075	2019	HP	Student	201954075															
Location 8	202264415	2022	HP	Student				202264415												
Location 8	201944234	2019	Mac	Student					201944234											
Location 8	202052502	2020	HP	Student		202052502														
Location 8	202199792	2021	Mac	Loaner															202199792	
Location 8	202158429	2021	HP	Student			202158429													
Location 8	202066761	2020	HP	Loaner										202066761						
Location 8	202246313	2022	Mac	Student								202246313								
Location 8	202226055	2022	Mac	Student								202226055								
Location 8	202092702	2020	HP	Student		202092702														
Location 8	202147376	2021	Mac	Student							202147376									
Location 8	202112221	2021	Mac	Student							202112221									
Location 8	202299456	2022	HP	Student				202299456												
Location 8	202021579	2020	HP	Loaner										202021579						
Location 8	202113871	2021	HP	Student			202113871													
Location 8	201938020	2019	HP	Student	201938020															
Location 8	202010869	2020	HP	Student		202010869														
Location 8	201966911	2019	Mac	Student					201966911											
Location 8	201912770	2019	HP	Student	201912770															
Location 8	202273058	2022	HP	Loaner												202273058				
Location 8	202022431	2020	Mac	Student						202022431										
Location 8	202199805	2021	Mac	Student							202199805									
Location 8	202206521	2022	Mac	Student								202206521								
Location 8	202231873	2022	HP	Student				202231873												
Location 8	202205264	2022	Mac	Student								202205264								
Location 8	202028599	2020	Mac	Student						202028599										
Location 9	202238891	2022	HP	Student				202238891												
Location 9	202128676	2021	HP	Student			202128676													
Location 9	202158185	2021	HP	Student			202158185													
Location 9	202046862	2020	HP	Student		202046862														
Location 9	202296217	2022	Mac	Student								202296217								
Location 9	202139823	2021	HP	Student			202139823													
Location 9	201953483	2019	HP	Student	201953483															
Location 9	202278369	2022	HP	Student				202278369												
Location 9	202120082	2021	HP	Student			202120082													
Location 9	202279262	2022	HP	Student				202279262												
Location 9	201963285	2019	Mac	Student					201963285											
Location 9	201918551	2019	Mac	Student					201918551											
Location 9	201984652	2019	HP	Student	201984652															
Location 9	202079355	2020	HP	Student		202079355														
Location 9	202007944	2020	HP	Student		202007944														
Location 9	202233586	2022	HP	Student				202233586												
Location 9	201908943	2019	HP	Student	201908943															
Location 9	201939458	2019	HP	Loaner									201939458							
Location 9	201977477	2019	Mac	Student					201977477											
Location 9	202278411	2022	Mac	Student								202278411								
Location 9	202160658	2021	HP	Student			202160658													
Location 9	201906578	2019	HP	Student	201906578															
Location 9	202195386	2021	Mac	Student							202195386									
Location 9	202011885	2020	Mac	Student						202011885										
Location 9	201950571	2019	HP	Loaner									201950571							
Location 9	202000552	2020	Mac	Loaner														202000552		
Location 9	202277857	2022	Mac	Student								202277857								
Location 9	202258556	2022	HP	Student				202258556												
Location 9	202294747	2022	HP	Student				202294747												
Location 9	202180975	2021	HP	Student			202180975													
Location 9	202124514	2021	HP	Student			202124514													
Location 9	202228617	2022	Mac	Loaner																202228617
Location 9	201969458	2019	Mac	Student					201969458											
Location 9	202197571	2021	HP	Loaner											202197571					
Location 9	201940419	2019	Mac	Student					201940419											
Location 9	202082819	2020	HP	Student		202082819														
Location 9	202194465	2021	Mac	Student							202194465									
Location 9	201915162	2019	HP	Student	201915162															
Location 9	202166447	2021	Mac	Student							202166447									
Location 9	202266857	2022	Mac	Student								202266857								
Location 9	202191464	2021	HP	Student			202191464													
Location 9	201934433	2019	Mac	Student					201934433											
Location 9	202189254	2021	HP	Student			202189254													
Location 9	201988740	2019	Mac	Student					201988740											
Location 9	202288806	2022	HP	Student				202288806												
Location 9	202096135	2020	HP	Student		202096135														
Location 9	202259817	2022	Mac	Student								202259817								
Location 9	202079925	2020	Mac	Student						202079925										
Location 9	201908234	2019	Mac	Student					201908234											
Location 9	201949683	2019	HP	Student	201949683															
Location 10	202063862	2020	HP	Loaner										202063862						
Location 10	202012249	2020	Mac	Student						202012249										
Location 10	202006410	2020	HP	Student		202006410														
Location 10	201909157	2019	Mac	Student					201909157											
Location 10	202165957	2021	HP	Student			202165957													
Location 10	202118923	2021	Mac	Student							202118923									
Location 10	202035556	2020	HP	Student		202035556														
Location 10	202184873	2021	HP	Student			202184873													
Location 10	201968722	2019	HP	Student	201968722															
Location 10	202233631	2022	Mac	Student								202233631								
Location 10	201945109	2019	Mac	Student					201945109											
Location 10	201922444	2019	Mac	Student					201922444											
Location 10	202175462	2021	HP	Student			202175462													
Location 10	202091911	2020	HP	Loaner										202091911						
Location 10	202085012	2020	Mac	Student						202085012										
Location 10	202255180	2022	HP	Loaner												202255180				
Location 10	202286603	2022	HP	Student				202286603												
Location 10	202101605	2021	HP	Student			202101605													
Location 10	202008864	2020	HP	Student		202008864														
Location 10	202165074	2021	HP	Loaner											202165074					
Location 10	202014452	2020	HP	Student		202014452														
Location 10	202150802	2021	HP	Student			202150802													
Location 10	202282480	2022	Mac	Student								202282480								
Location 10	202295791	2022	HP	Student				202295791												
Location 10	202001152	2020	Mac	Student						202001152										
Location 10	202212011	2022	Mac	Student								202212011								
Location 10	201930744	2019	HP	Student	201930744															
Location 10	202040943	2020	HP	Loaner										202040943						
Location 10	201915601	2019	HP	Student	201915601															
Location 10	201951082	2019	Mac	Student					201951082											
Location 10	202236393	2022	Mac	Student								202236393								
Location 10	201989033	2019	HP	Student	201989033															
Location 10	202066962	2020	HP	Student		202066962														
Location 10	202187086	2021	HP	Student			202187086													
Location 10	202114013	2021	HP	Student			202114013													
Location 10	202037067	2020	Mac	Student						202037067										
Location 10	202126960	2021	Mac	Student							202126960									
Location 10	202042816	2020	Mac	Loaner														202042816		
Location 10	202121245	2021	Mac	Student							202121245									
Location 10	202251670	2022	HP	Student				202251670												
Location 10	202086667	2020	HP	Student		202086667														
Location 10	202156809	2021	HP	Student			202156809													
Location 10	202211781	2022	HP	Student				202211781												
Location 10	202201259	2022	Mac	Student								202201259								
Location 10	202165211	2021	Mac	Student							202165211									
Location 10	202200119	2022	HP	Student				202200119												
Location 10	202087402	2020	HP	Student		202087402														
Location 10	202088811	2020	Mac	Student						202088811										
Location 10	202173964	2021	HP	Student			202173964													
Location 10	202162375	2021	HP	Student			202162375													
